,Date,Crude Closing
159,2022-08-22,90.23
160,2022-08-23,93.74
161,2022-08-24,94.89
162,2022-08-25,92.52
163,2022-08-26,93.06
164,2022-08-29,97.01
165,2022-08-30,91.64
166,2022-08-31,89.55
167,2022-09-01,86.61
168,2022-09-02,86.87
169,2022-09-06,86.88
170,2022-09-07,81.94
171,2022-09-08,83.54
172,2022-09-09,86.79
173,2022-09-12,87.78
174,2022-09-13,87.31
175,2022-09-14,88.48
176,2022-09-15,85.1
177,2022-09-16,85.11
178,2022-09-19,85.73
179,2022-09-20,84.45
180,2022-09-21,82.94
181,2022-09-22,83.49
182,2022-09-23,78.74
183,2022-09-26,76.71
184,2022-09-27,78.5
185,2022-09-28,82.15
186,2022-09-29,81.23
187,2022-09-30,79.49
188,2022-10-03,83.63
189,2022-10-04,86.52
190,2022-10-05,87.76
191,2022-10-06,88.45
192,2022-10-07,92.64
193,2022-10-10,91.13
194,2022-10-11,89.35
195,2022-10-12,87.27
196,2022-10-13,89.11
197,2022-10-14,85.61
198,2022-10-17,85.46
199,2022-10-18,82.82
200,2022-10-19,85.55
201,2022-10-20,85.98
202,2022-10-21,85.05
203,2022-10-24,84.58
204,2022-10-25,85.32
205,2022-10-26,87.91
206,2022-10-27,89.08
207,2022-10-28,87.9
208,2022-10-31,86.53
209,2022-11-01,88.37
210,2022-11-02,90.0
211,2022-11-03,88.17
212,2022-11-04,92.61
213,2022-11-07,91.79
214,2022-11-08,88.91
215,2022-11-09,85.83
216,2022-11-10,86.47
217,2022-11-11,88.96
218,2022-11-14,85.87
219,2022-11-15,86.92
220,2022-11-16,85.59
221,2022-11-17,81.64
222,2022-11-18,80.08
223,2022-11-21,79.73
224,2022-11-22,80.95
225,2022-11-23,77.94
226,2022-11-25,76.28
227,2022-11-28,77.24
228,2022-11-29,78.2
229,2022-11-30,80.55
230,2022-12-01,81.22
231,2022-12-02,79.98
232,2022-12-05,76.93
233,2022-12-06,74.25
234,2022-12-07,72.01
235,2022-12-08,71.46
236,2022-12-09,71.02
237,2022-12-12,73.17
238,2022-12-13,75.39
239,2022-12-14,77.28
240,2022-12-15,76.11
241,2022-12-16,74.29
242,2022-12-19,75.19
