,Date,Regular,Diesel,Crude Closing
107,2022-07-28,4.28,5.34,96.42
108,2022-07-29,4.26,5.32,98.62
109,2022-08-01,4.21,5.28,93.89
110,2022-08-02,4.19,5.26,94.42
111,2022-08-03,4.16,5.24,90.66
112,2022-08-04,4.14,5.22,88.54
113,2022-08-05,4.11,5.19,89.01
114,2022-08-08,4.06,5.14,90.76
115,2022-08-09,4.03,5.12,90.5
116,2022-08-10,4.01,5.1,91.93
117,2022-08-11,3.99,5.08,94.34
118,2022-08-12,3.98,5.06,92.09
119,2022-08-15,3.96,5.03,89.41
120,2022-08-16,3.95,5.02,86.53
121,2022-08-17,3.94,5.01,88.11
122,2022-08-18,3.93,5.0,90.5
123,2022-08-22,3.9,4.98,90.23
124,2022-08-23,3.89,4.97,93.74
125,2022-08-24,3.88,4.98,94.89
126,2022-08-25,3.88,4.99,92.52
127,2022-08-26,3.87,5.01,93.06
128,2022-08-29,3.85,5.06,97.01
129,2022-08-30,3.84,5.07,91.64
130,2022-08-31,3.84,5.09,89.55
131,2022-09-01,3.83,5.08,86.61
132,2022-09-02,3.81,5.08,86.87
133,2022-09-06,3.78,5.06,86.88
134,2022-09-07,3.76,5.05,81.94
135,2022-09-08,3.75,5.04,83.54
136,2022-09-09,3.74,5.03,86.79
137,2022-09-12,3.72,5.01,87.78
138,2022-09-13,3.71,5.0,87.31
139,2022-09-14,3.7,5.0,88.48
140,2022-09-15,3.7,4.99,85.1
141,2022-09-16,3.69,4.98,85.11
142,2022-09-19,3.68,4.95,85.73
143,2022-09-20,3.67,4.94,84.45
144,2022-09-21,3.68,4.93,82.94
145,2022-09-22,3.68,4.92,83.49
146,2022-09-23,3.69,4.91,78.74
147,2022-09-26,3.73,4.9,76.71
148,2022-09-27,3.75,4.89,78.5
149,2022-09-28,3.77,4.88,82.15
150,2022-09-29,3.78,4.88,81.23
151,2022-09-30,3.8,4.88,79.49
152,2022-10-03,3.8,4.87,83.63
153,2022-10-04,3.81,4.86,86.52
154,2022-10-05,3.83,4.87,87.76
155,2022-10-06,3.87,4.88,88.45
156,2022-10-07,3.89,4.92,92.64
157,2022-10-10,3.92,5.06,91.13
158,2022-10-11,3.92,5.12,89.35
159,2022-10-12,3.92,5.16,87.27
160,2022-10-13,3.91,5.19,89.11
161,2022-10-14,3.9,5.19,85.61
162,2022-10-17,3.89,5.28,85.46
163,2022-10-18,3.87,5.3,82.82
164,2022-10-19,3.85,5.32,85.55
165,2022-10-20,3.84,5.34,85.98
166,2022-10-21,3.82,5.34,85.05
167,2022-10-24,3.79,5.33,84.58
168,2022-10-25,3.78,5.32,85.32
169,2022-10-26,3.76,5.32,87.91
170,2022-10-27,3.76,5.31,89.08
171,2022-10-28,3.76,5.31,87.9
172,2022-10-31,3.76,5.31,86.53
173,2022-11-01,3.76,5.31,88.37
174,2022-11-02,3.77,5.31,90.0
175,2022-11-03,3.78,5.31,88.17
176,2022-11-04,3.79,5.31,92.61
177,2022-11-07,3.8,5.34,91.79
178,2022-11-08,3.8,5.35,88.91
179,2022-11-09,3.81,5.36,85.83
180,2022-11-10,3.8,5.36,86.47
181,2022-11-11,3.79,5.37,88.96
182,2022-11-14,3.77,5.36,85.87
183,2022-11-15,3.76,5.36,86.92
184,2022-11-16,3.74,5.35,85.59
185,2022-11-17,3.73,5.34,81.64
186,2022-11-18,3.71,5.33,80.08
187,2022-11-21,3.66,5.3,79.73
188,2022-11-22,3.64,5.29,80.95
189,2022-11-23,3.61,5.27,77.94
190,2022-11-25,3.58,5.25,76.28
191,2022-11-28,3.55,5.22,77.24
192,2022-11-29,3.52,5.2,78.2
193,2022-11-30,3.5,5.18,80.55
194,2022-12-01,3.47,5.15,81.22
195,2022-12-02,3.45,5.13,79.98
196,2022-12-05,3.4,5.08,76.93
197,2022-12-06,3.38,5.06,74.25
198,2022-12-07,3.35,5.03,72.01
199,2022-12-08,3.33,5.0,71.46
200,2022-12-09,3.31,4.98,71.02
201,2022-12-12,3.26,4.92,73.17
202,2022-12-13,3.25,4.89,75.39
203,2022-12-14,3.21,4.86,77.28
204,2022-12-15,3.19,4.83,76.11
205,2022-12-16,3.18,4.81,74.29
